statea,stateb,start,end,conttype
SWD,DEN,1945,2000,Water12
SWD,DEN,2000,2006,Water12
COL,ECU,1854,2006,Land
LBR,SIE,1961,2006,Land
GDR,SWD,1954,1990,Water150
EST,FIN,1991,2006,Water24
CHN,ROK,1949,2006,Water150
KEN,ZAN,1963,1964,Water150
MAL,INS,1963,2006,Land
MAL,INS,1957,1963,Water24
CHN,BHU,1971,2006,Land
GRN,AAB,1981,2006,Water400
TAJ,CHN,1991,2006,Land
PAK,MYA,1948,2006,Land
MLI,BFO,1960,2006,Land
ETH,ERI,1993,2006,Land
COS,PAN,1920,2006,Land
DRC,SUD,1960,2006,Land
SAL,NIC,1900,2006,Water24
IRN,BAH,1971,2006,Water150
QAT,OMA,1971,2006,Water400
IRN,OMA,1971,2006,Water150
IRQ,QAT,1971,2006,Water400
THI,DRV,1975,2006,Water400
CAM,DRV,1975,2006,Land
ARM,IRN,1991,2006,Land
KUW,BAH,1971,2006,Water400
CHA,LIB,1960,2006,Land
CHN,PRK,1948,2006,Land
TRI,SUR,1975,2006,Water400
YPR,OMA,1971,1990,Land
UKG,GMY,1990,2006,Water400
ARM,GRG,1991,2006,Land
KEN,SUD,1963,2006,Land
YUG,BOS,1992,2006,Land
USR,TUR,1991,2006,Water400
USR,TUR,1816,1991,Land
BAR,AAB,1981,2006,Water400
BEL,GMY,1990,2006,Land
ITA,YUG,1944,1992,Land
ITA,YUG,1992,2006,Water150
GFR,AUS,1955,1990,Land
QAT,UAE,1971,2006,Land
YEM,OMA,1990,2006,Land
GMY,CZE,1990,1992,Land
MAG,COM,1975,2006,Water400
GMY,USR,1990,2006,Water400
GAM,SEN,1965,2006,Land
PER,BRA,1839,2006,Land
THI,INS,1949,2006,Water150
LAO,RVN,1954,1975,Land
ZIM,BOT,1966,2006,Land
CHN,IND,1947,2006,Land
USR,NOR,1947,2006,Land
STP,CAO,1975,2006,Water400
DOM,SKN,1983,2006,Water400
NTH,GFR,1955,1990,Land
MEX,HON,1899,2006,Water400
TAZ,SEY,1976,2006,Water400
GFR,NOR,1955,1990,Water400
LUX,GFR,1955,1990,Land
IRN,AFG,1920,2006,Land
TUR,IRQ,1932,2006,Land
ETH,YAR,1952,1990,Water12
DRV,RVN,1954,1975,Land
YUG,GRC,1944,1993,Land
THI,RVN,1954,1975,Water400
NOR,DEN,1945,2006,Water150
GUY,BRA,1966,2006,Land
ZAM,MAW,1964,2006,Land
MZM,SEY,1976,2006,Water400
PNG,FSM,1991,2006,Water400
TRI,GRN,1974,2006,Water150
LEB,ISR,1948,2006,Land
POL,CZE,1945,1992,Land
YAR,YPR,1967,1990,Land
SPN,ITA,1816,2006,Water400
SEN,MAA,1960,2006,Land
SAU,BAH,1971,1986,Water24
SAU,BAH,1986,2006,Land
NTH,BEL,1945,2006,Land
BEL,GFR,1955,1990,Land
NAM,BOT,1990,2006,Land
ERI,SAU,1993,2006,Water150
KEN,TAZ,1963,2006,Land
SUD,SAU,1956,2006,Water150
USR,EST,1991,2006,Land
GAB,ANG,1975,2006,Water400
SVG,VEN,1979,2006,Water150
VAN,SOL,1981,2006,Water150
BRA,PAR,1876,2006,Land
PAN,COL,1920,2006,Land
MAS,SEY,1976,2006,Water400
BHM,HAI,1973,2006,Water150
IRN,QAT,1971,2006,Water150
MLI,CDI,1960,2006,Land
VEN,BRA,1841,2006,Land
SWZ,AUS,1955,2006,Land
DRC,TAZ,1961,2006,Water24
GFR,SWD,1955,1990,Water150
ANG,ZAM,1975,2006,Land
BUL,RUM,1908,2006,Land
BAR,VEN,1966,2006,Water400
GMY,CZR,1993,2006,Land
SIN,INS,1965,2006,Water12
MZM,MAG,1975,2006,Water400
EGY,SYR,1946,1958,Water400
EGY,SYR,1961,2006,Water400
SVG,AAB,1981,2006,Water400
GMY,SWD,1990,2006,Water150
MAC,BUL,1993,2006,Land
SUD,YAR,1956,1990,Water400
USA,USR,1959,2006,Water12
MAL,PHI,1963,2006,Water24
DMA,SLU,1979,2006,Water150
BFO,TOG,1960,2006,Land
USR,SWD,1944,2006,Water150
FRN,AND,1993,2006,Land
FIJ,TON,1999,2006,Water400
GRN,SVG,1979,2006,Water12
UKG,NOR,1945,2006,Water400
CRO,MTG,2006,2006,Land
IRQ,EGY,1958,1961,Land
MAL,BRU,1984,2006,Land
CYP,LEB,1960,2006,Water150
TAZ,RWA,1962,2006,Land
NTH,DEN,1945,2006,Water150
HON,SAL,1899,2006,Land
ALB,CRO,1992,2006,Water150
CUB,JAM,1962,2006,Water150
FRN,TUN,1956,2006,Water400
LIB,TUR,1951,2006,Water400
PHI,PAL,1994,2006,Water400
DRC,ANG,1975,2006,Land
KYR,KZK,1991,2006,Land
CRO,BOS,1992,2006,Land
BEN,NIG,1960,2006,Land
TAZ,ZAM,1964,2006,Land
SPN,ALG,1962,2006,Water150
HAI,JAM,1962,2006,Water150
SLO,UKR,1993,2006,Land
DRV,INS,1975,2006,Water400
ALB,GRC,1944,2006,Land
IND,NEP,1947,2006,Land
POL,UKR,1991,2006,Land
BEL,LUX,1945,2006,Land
AUS,ITA,1955,2006,Land
DMA,SKN,1983,2006,Water400
SLU,SVG,1979,2006,Water24
LAT,BLR,1991,2006,Land
GRG,TUR,1991,2006,Land
GDR,DEN,1954,1990,Water24
TRI,SLU,1979,2006,Water400
GMY,NOR,1990,2006,Water400
BRU,PHI,1984,2006,Water400
EST,LAT,1991,2006,Land
SEN,GUI,1960,2006,Land
TUR,SYR,1946,1958,Land
TUR,SYR,1961,2006,Land
GDR,CZE,1954,1990,Land
CUB,MEX,1909,2006,Water150
IRE,FRN,1944,2006,Water400
BHM,CUB,1973,2006,Water150
TAW,JPN,1972,2006,Water150
TUR,ISR,1948,2006,Water400
LIE,AUS,1990,2006,Land
TRI,GUY,1966,2006,Water150
EST,SWD,1991,2006,Water150
STP,EQG,1975,2006,Water150
CHN,RVN,1954,1975,Water150
BOS,MTG,2006,2006,Land
TKM,KZK,1991,2006,Land
CDI,BFO,1960,2006,Land
CHA,SUD,1960,2006,Land
BEL,FRN,1945,2006,Land
ZAM,NAM,1990,2006,Land
CAO,CON,1960,2006,Land
GRC,EGY,1944,2006,Water400
FRN,MNC,1993,2006,Land
RUM,USR,1944,1991,Land
ITA,MLT,1964,2006,Water150
INS,FSM,1991,2006,Water400
INS,PNG,1975,2006,Land
MZM,SAF,1975,2006,Land
TUN,LIB,1956,2006,Land
TRI,SVG,1979,2006,Water150
GHA,NIG,1960,2006,Water400
JAM,NIC,1962,2006,Water400
TAJ,UZB,1991,2006,Land
CAO,CHA,1960,2006,Land
USR,ROK,1949,2006,Water400
BRA,URU,1882,2006,Land
SAF,LES,1966,2006,Land
LUX,FRN,1944,2006,Land
HUN,CRO,1992,2006,Land
CYP,SYR,1961,2006,Water150
CEN,DRC,1960,2006,Land
EGY,ISR,1948,2006,Land
HUN,SLO,1993,2006,Land
TOG,NIG,1960,2006,Water400
LAT,SWD,1991,2006,Water150
BAR,DMA,1978,2006,Water400
NIR,CAO,1960,2006,Water150
USR,CHN,1860,2006,Land
AUS,SLO,1993,2006,Land
POL,EST,1991,2006,Water400
GUA,HON,1899,2006,Land
GDR,USR,1954,1990,Water400
CHN,JPN,1952,2006,Water400
DJI,ETH,1977,2006,Land
DJI,YAR,1977,1990,Water24
GRC,CYP,1960,2006,Water400
BEN,BFO,1960,2006,Land
IRQ,SAU,1932,2006,Land
IRQ,SYR,1961,2006,Land
IRQ,SYR,1946,1958,Land
EGY,LEB,1946,1958,Water400
EGY,LEB,1961,2006,Water400
EGY,LEB,1958,1961,Land
HAI,COL,1934,2006,Water400
DRC,BUI,1962,2006,Land
TAZ,COM,1975,2006,Water400
MLI,GUI,1960,2006,Land
KEN,SOM,1963,2006,Land
USR,DEN,1945,2006,Water400
TAZ,MZM,1975,2006,Land
MLI,ALG,1962,2006,Land
USR,IRN,1855,1991,Land
FIN,SWD,1917,2006,Land
POL,USR,1945,2006,Land
SLU,AAB,1981,2006,Water400
NTH,GMY,1990,2006,Land
DMA,GRN,1978,2006,Water400
IND,BHU,1971,2006,Land
NTH,NOR,1945,2006,Water400
IND,PAK,1947,2006,Land
SOM,DJI,1977,2006,Land
EGY,JOR,1946,1958,Water12
EGY,JOR,1961,1967,Water12
EGY,JOR,1982,2006,Water12
EGY,JOR,1958,1961,Land
UKG,DEN,1945,2006,Water400
SUD,YPR,1967,1990,Water400
PNG,SOL,1978,2006,Water12
SVG,SKN,1983,2006,Water400
IND,MAL,1957,2006,Water400
EST,DEN,1991,2006,Water400
SPN,TUN,1956,2006,Water400
CUB,HAI,1934,2006,Water150
ETH,SUD,1956,2006,Land
SYR,JOR,1961,2006,Land
SYR,JOR,1946,1958,Land
KYR,CHN,1991,2006,Land
IND,THI,1947,2006,Water400
MLT,GRC,1964,2006,Water400
USA,MEX,1831,2006,Land
NIC,COS,1920,2006,Land
AAB,SKN,1983,2006,Water24
RUM,UKR,1991,2006,Land
SAU,QAT,1971,2006,Land
IRN,TUR,1855,2006,Land
IRN,SAU,1927,2006,Water150
ITA,ALB,1944,2006,Water150
SWZ,GMY,1990,2006,Land
SPN,POR,1816,2006,Land
AAB,VEN,1981,2006,Water150
TUV,FIJ,2000,2006,Water400
YUG,BUL,1944,2006,Land
LIT,BLR,1991,2006,Land
CEN,CON,1960,2006,Land
CON,ANG,1975,2006,Land
IND,SRI,1948,2006,Water12
MAC,YUG,1993,2006,Land
THI,LAO,1953,2006,Land
FRN,ITA,1944,2006,Land
ITA,GRC,1944,2006,Water150
SUD,EGY,1956,2006,Land
USA,CAN,1920,2006,Land
TKM,UZB,1991,2006,Land
ROK,JPN,1952,2006,Water150
USR,UKR,1991,2006,Land
MZM,ZAM,1975,2006,Land
YUG,RUM,1944,2006,Land
FRN,GFR,1955,1990,Land
BEL,DEN,1945,2006,Water400
GUI,LBR,1958,2006,Land
SVG,GUY,1979,2006,Water400
BOL,ARG,1848,2006,Land
ZAM,BOT,1966,2006,Land
CRO,YUG,1992,2006,Land
USA,CUB,1909,2006,Water150
VEN,GUY,1966,2006,Land
CAO,CEN,1960,2006,Land
ALB,YUG,1944,2006,Land
BLZ,GUA,1981,2006,Land
KEN,ETH,1963,2006,Land
GHA,TOG,1960,2006,Land
SWZ,ITA,1816,2006,Land
DRV,MAL,1975,2006,Water400
KZK,CHN,1991,2006,Land
NIG,GAB,1960,2006,Water400
LIT,SWD,1991,2006,Water150
BFO,GHA,1960,2006,Land
BAH,OMA,1971,2006,Water400
ALG,TUN,1962,2006,Land
IND,INS,1949,2006,Water150
DMA,SVG,1979,2006,Water400
USR,LIT,1991,2006,Land
SAU,YEM,1990,2006,Land
CAP,SEN,1975,2006,Water400
TON,WSM,1999,2006,Water400
PER,CHL,1883,2006,Land
GMY,LAT,1991,2006,Water400
ARM,TUR,1991,2006,Land
HON,NIC,1900,2006,Land
SAF,SWA,1968,2006,Land
ERI,YEM,1993,2006,Water12
UGA,SUD,1962,2006,Land
MZM,COM,1975,2006,Water400
AZE,IRN,1991,2006,Land
BEN,TOG,1960,2006,Land
SYR,ISR,1948,1958,Land
SYR,ISR,1961,2006,Land
GUA,NIC,1900,2006,Water400
GAB,CON,1960,2006,Land
KIR,NAU,1999,2006,Water400
PAR,ARG,1876,2006,Land
POL,LIT,1991,2006,Land
COS,COL,1928,2006,Water150
TUR,EGY,1937,1958,Water400
TUR,EGY,1958,1961,Land
TUR,EGY,1961,2006,Water400
NIR,ALG,1962,2006,Land
LAO,DRV,1954,2006,Land
GMY,EST,1991,2006,Water400
USR,MON,1921,2006,Land
UZB,KZK,1991,2006,Land
CDI,LBR,1960,2006,Land
KIR,MSI,1999,2006,Water400
ZIM,SAF,1965,2006,Land
FRN,GMY,1990,2006,Land
COL,PER,1916,2006,Land
NTH,FRN,1945,2006,Water400
MZM,SWA,1975,2006,Land
HUN,CZE,1945,1992,Land
SOM,ETH,1960,2006,Land
RVN,INS,1954,1975,Water400
CHN,DRV,1954,2006,Land
EQG,GAB,1968,2006,Land
FRN,SWZ,1944,2006,Land
MYA,THI,1948,2006,Land
OMA,PAK,1971,2006,Water400
MNC,SPN,1993,2006,Water400
USR,JPN,1952,2006,Water12
GNB,GUI,1974,2006,Land
NIR,LIB,1960,2006,Land
PRK,JPN,1952,2006,Water400
LIB,SUD,1956,2006,Land
LIT,DEN,1991,2006,Water400
HUN,USR,1944,1991,Land
UGA,TAZ,1962,2006,Land
MEX,GUA,1868,2006,Land
CZE,USR,1945,1991,Land
UKR,TUR,1991,2006,Water400
SAL,COS,1920,2006,Water400
GFR,GDR,1955,1990,Land
HUN,SLV,1992,2006,Land
MAA,MOR,1976,2006,Land
TRI,BAR,1966,2006,Water150
TAZ,MAW,1964,2006,Land
SAU,UAE,1971,2006,Land
MLT,LIB,1964,2006,Water400
NIR,CHA,1960,2006,Land
PER,BOL,1848,2006,Land
AUS,SLV,1992,2006,Land
BAR,SVG,1979,2006,Water150
AFG,TKM,1991,2006,Land
CHN,MYA,1948,2006,Land
SYR,LEB,1961,2006,Land
SYR,LEB,1946,1958,Land
MYA,LAO,1953,2006,Land
POL,SLO,1993,2006,Land
AFG,UZB,1991,2006,Land
LAT,DEN,1991,2006,Water400
CUB,BLZ,1981,2006,Water400
MNC,ITA,1993,2006,Water150
SKN,VEN,1983,2006,Water150
ECU,PER,1854,2006,Land
DMA,VEN,1978,2006,Water150
IRN,IRQ,1932,2006,Land
KYR,UZB,1991,2006,Land
UGA,RWA,1962,2006,Land
MAL,SIN,1965,2006,Land
CAM,LAO,1953,2006,Land
UKG,GFR,1955,1990,Water400
CAM,RVN,1954,1975,Land
BRA,BOL,1848,2006,Land
SAU,KUW,1961,2006,Land
CUB,HON,1909,2006,Water400
ITA,CRO,1992,2006,Water24
LUX,GMY,1990,2006,Land
IRN,TKM,1991,2006,Land
GUI,SIE,1961,2006,Land
BAH,QAT,1971,2006,Water24
SOM,YPR,1967,1990,Water150
IRQ,JOR,1946,2006,Land
LIT,FIN,1991,2006,Water400
PAL,FSM,1994,2006,Water150
LIE,SWZ,1990,2006,Land
AUS,YUG,1955,1992,Land
JAM,COL,1962,2006,Water400
COL,BRA,1831,2006,Land
HUN,UKR,1991,2006,Land
INS,ETM,2002,2006,Land
DJI,YEM,1990,2006,Water12
STP,GAB,1975,2006,Water150
NIC,COL,1928,2006,Water150
CZE,UKR,1991,1992,Land
RVN,MAL,1957,1975,Water400
EQG,NIG,1968,2006,Water150
BNG,MYA,1972,2006,Land
MLD,RUM,1991,2006,Land
FIN,NOR,1945,2006,Land
DRC,RWA,1962,2006,Land
EQG,CAO,1968,2006,Land
EGY,SAU,1982,2006,Water12
EGY,SAU,1937,1967,Water12
EGY,SAU,1967,1982,Water150
SAF,BOT,1966,2006,Land
GMY,POL,1990,2006,Land
SAF,NAM,1990,2006,Land
DOM,COL,1924,2006,Water400
USR,AZE,1991,2006,Land
INS,AUL,1949,1963,Water400
INS,AUL,1963,2006,Water150
GRG,AZE,1991,2006,Land
MZM,ZIM,1975,2006,Land
IRN,KUW,1961,2006,Water24
CAM,MAL,1957,2006,Water400
SLU,VEN,1979,2006,Water400
ALG,LIB,1962,2006,Land
HAI,DOM,1934,2006,Land
FRN,DEN,1945,2006,Water400
TAW,PHI,1949,2006,Water150
KIR,TUV,2000,2006,Water400
GRC,BUL,1944,2006,Land
POL,LAT,1991,2006,Water150
MYA,INS,1949,2006,Water400
ZAN,SOM,1963,1964,Water400
INS,PAL,1994,2006,Water150
ETM,AUL,2002,2006,Water400
NIR,NIG,1960,2006,Land
BEN,NIR,1960,2006,Land
USR,LAT,1991,2006,Land
FRN,SPN,1944,2006,Land
USA,BHM,1973,2006,Water150
JOR,SAU,1946,2006,Land
CHN,PAK,1947,2006,Land
GMY,LIT,1991,2006,Water400
ETH,YEM,1990,1993,Water12
RUM,TUR,1940,2006,Water400
BAR,GRN,1974,2006,Water150
ALB,MTG,2006,2006,Land
AZE,KZK,1991,2006,Water150
NIG,CHA,1960,2006,Water24
MZM,MAW,1975,2006,Land
YUG,MTG,2006,2006,Land
USR,BLR,1991,2006,Land
GNB,SEN,1974,2006,Land
DJI,YPR,1977,1990,Water12
SUD,YEM,1990,2006,Water400
POL,DEN,1945,2006,Water150
BUL,UKR,1991,2006,Water400
CYP,TUR,1960,1974,Water150
CYP,TUR,1974,2006,Land
CAO,GAB,1960,2006,Land
TAZ,SOM,1961,2006,Water400
ETH,SAU,1952,1993,Water150
COM,SEY,1976,2006,Water400
AUL,PNG,1975,2006,Water12
CHN,PHI,1949,2006,Water400
IND,MAD,1965,2006,Water150
USR,KZK,1991,2006,Land
GUY,SUR,1975,2006,Land
MLD,UKR,1991,2006,Land
GFR,DEN,1955,1990,Land
UKR,GRG,1991,2006,Water400
MEX,BLZ,1981,2006,Land
UKG,FRN,1944,2006,Water24
MLI,SEN,1960,2006,Land
POR,MOR,1956,2006,Water150
AZE,TKM,1991,2006,Water150
SWZ,GFR,1955,1990,Land
SOM,OMA,1971,2006,Water400
BHM,DOM,1973,2006,Water150
BUI,RWA,1962,2006,Land
POL,BLR,1991,2006,Land
BAR,GUY,1966,2006,Water400
GMY,AUS,1990,2006,Land
MLT,TUN,1964,2006,Water400
ETH,YPR,1967,1990,Water24
CON,DRC,1960,2006,Land
BAH,UAE,1971,2006,Water400
USR,TKM,1991,2006,Water400
GRC,TUR,1944,2006,Land
UGA,KEN,1963,2006,Land
AUS,CZE,1955,1992,Land
IRN,UAE,1971,2006,Water150
CHL,ARG,1841,2006,Land
CAO,NIG,1960,2006,Land
DJI,SAU,1977,2006,Water400
SLU,SKN,1983,2006,Water400
AFG,TAJ,1991,2006,Land
DOM,JAM,1962,2006,Water400
KUW,QAT,1971,2006,Water400
TRI,VEN,1962,2006,Water24
GFR,USR,1955,1990,Water400
IRQ,BAH,1971,2006,Water400
COL,VEN,1841,2006,Land
ERI,SUD,1993,2006,Land
MLI,NIR,1960,2006,Land
AZE,TUR,1991,2006,Land
GUA,SAL,1875,2006,Land
BHM,JAM,1973,2006,Water400
CHN,NEP,1950,2006,Land
IRQ,KUW,1961,2006,Land
LAT,LIT,1991,2006,Land
DRC,ZAM,1964,2006,Land
GRN,GUY,1974,2006,Water400
ALB,MAC,1993,2006,Land
IND,MYA,1948,2006,Land
CHN,MON,1921,2006,Land
DJI,ERI,1993,2006,Land
CHN,LAO,1953,2006,Land
BUL,USR,1944,1991,Water400
IND,BNG,1972,2006,Land
HUN,RUM,1918,2006,Land
SAU,YPR,1967,1990,Land
SPN,MAA,1976,1979,Water400
NIC,PAN,1920,2006,Water400
MAC,GRC,1993,2006,Land
TUR,LEB,1946,2006,Water150
JAM,HON,1962,2006,Water400
GUA,COS,1920,2006,Water400
IRN,KZK,1991,2006,Water400
GDR,POL,1954,1990,Land
TAZ,BUI,1962,2006,Land
MLT,ALB,1964,2006,Water400
LIB,EGY,1951,2006,Land
ISR,SAU,1948,2006,Water12
USR,AFG,1920,1991,Land
POL,CZR,1993,2006,Land
USR,PRK,1948,2006,Land
UKG,NTH,1945,2006,Water150
USR,GRG,1991,2006,Land
CDI,GUI,1960,2006,Land
SOM,YEM,1990,2006,Water150
PRK,ROK,1949,2006,Land
SLU,GUY,1979,2006,Water400
SOM,YAR,1960,1990,Water150
HUN,YUG,1944,2006,Land
MAA,ALG,1962,2006,Land
UKG,BEL,1945,2006,Water150
ITA,ALG,1962,2006,Water150
POL,SWD,1945,2006,Water150
PHI,INS,1949,2006,Water150
SPN,MOR,1956,2006,Land
DRC,UGA,1962,2006,Land
ZAM,ZIM,1965,2006,Land
JPN,PHI,1972,2006,Water400
STP,NIG,1975,2006,Water400
BAR,SLU,1979,2006,Water150
CEN,CHA,1960,2006,Land
LAT,FIN,1991,2006,Water400
GRN,SKN,1983,2006,Water400
SAU,OMA,1971,2006,Land
MOR,ALG,1962,2006,Land
GFR,CZE,1955,1990,Land
ITA,SNM,1992,2006,Land
ITA,MTG,2006,2006,Water150
ARM,AZE,1991,2006,Land
AUS,CZR,1993,2006,Land
BUL,TUR,1908,2006,Land
BLZ,HON,1981,2006,Water150
AUS,HUN,1955,2006,Land
ITA,TUN,1956,2006,Water150
BRA,ARG,1841,2006,Land
UKR,BLR,1991,2006,Land
CRO,GRC,1992,2006,Water400
TAZ,ZAN,1963,1964,Water24
AFG,CHN,1920,2006,Land
NIR,BFO,1960,2006,Land
CHN,TAW,1949,2006,Water12
FRN,ALG,1962,2006,Water400
SPN,AND,1993,2006,Land
MLI,MAA,1960,2006,Land
UKG,IRE,1922,2006,Land
THI,CAM,1953,2006,Land
CRO,SLV,1992,2006,Land
SUR,BRA,1975,2006,Land
UAE,OMA,1971,2006,Land
CZR,SLO,1993,2006,Land
CYP,ISR,1960,2006,Water150
POL,FIN,1945,2006,Water400
CUB,DOM,1924,2006,Water400
GMY,DEN,1990,2006,Land
SAU,YAR,1927,1990,Land
JOR,ISR,1948,2006,Land
ARG,URU,1882,2006,Land
USR,FIN,1917,2006,Land
SWD,NOR,1945,2006,Land
ITA,LIB,1951,2006,Water400
GRN,VEN,1974,2006,Water150
GRC,LIB,1951,2006,Water400
ANG,NAM,1990,2006,Land
CYP,EGY,1961,2006,Water400
CYP,EGY,1960,1961,Water150
BOL,CHL,1848,2006,Land
TAJ,KYR,1991,2006,Land
IRN,PAK,1947,2006,Land
BOL,PAR,1876,2006,Land
CEN,SUD,1960,2006,Land
DOM,VEN,1924,2006,Water400
ITA,SLV,1992,2006,Land
MAG,SEY,1976,2006,Water400
AFG,PAK,1947,2006,Land
THI,MAL,1957,2006,Land
BEN,GHA,1960,2006,Water150
CDI,GHA,1960,2006,Land
