"StateAbb","COWName","MAPName"
"AFG","Afghanistan","Afghanistan"
"ALB","Albania","Albania"
"ALG","Algeria","Algeria"
"AND","Andorra","Andorra"
"ANG","Angola","Angola"
"AAB","Antigua & Barbuda","Antigua and Barbuda"
"ARG","Argentina","Argentina"
"ARM","Armenia","Armenia"
"AUL","Australia","Australia"
"AUS","Austria","Austria"
"AZE","Azerbaijan","Azerbaijan"
"BHM","Bahamas","Bahamas"
"BAH","Bahrain","Bahrain"
"BNG","Bangladesh","Bangladesh"
"BAR","Barbados","Barbados"
"BLR","Belarus","Belarus"
"BEL","Belgium","Belgium"
"BLZ","Belize","Belize"
"BEN","Benin","Benin"
"BHU","Bhutan","Bhutan"
"BOL","Bolivia","Bolivia"
"BOS","Bosnia and Herzegovina","Bosnia and Herzegovina"
"BOT","Botswana","Botswana"
"BRA","Brazil","Brazil"
"BRU","Brunei","Brunei Darussalam"
"BUL","Bulgaria","Bulgaria"
"BFO","Burkina Faso","Burkina Faso"
"BUI","Burundi","Burundi"
"CAM","Cambodia","Cambodia"
"CAO","Cameroon","Cameroon"
"CAN","Canada","Canada"
"CAP","Cape Verde","Cape Verde"
"CEN","Central African Republic","Central African Republic"
"CHA","Chad","Chad"
"CHL","Chile","Chile"
"CHN","China","China"
"COL","Colombia","Colombia"
"COM","Comoros","Comoros"
"CON","Congo","Congo"
"COS","Costa Rica","Costa Rica"
"CRO","Croatia","Croatia"
"CUB","Cuba","Cuba"
"CYP","Cyprus","Cyprus"
"CZR","Czech Republic","Czech Republic"
"DRC","Democratic Republic of the Congo","Congo, the Democratic Republic of the"
"DEN","Denmark","Denmark"
"DJI","Djibouti","Djibouti"
"DMA","Dominica","Dominica"
"DOM","Dominican Republic","Dominican Republic"
"ECU","Ecuador","Ecuador"
"EGY","Egypt","Egypt"
"SAL","El Salvador","El Salvador"
"EQG","Equatorial Guinea","Equatorial Guinea"
"ERI","Eritrea","Eritrea"
"EST","Estonia","Estonia"
"ETH","Ethiopia","Ethiopia"
"FSM","Federated States of Micronesia","Micronesia, Federated States of"
"FIJ","Fiji","Fiji"
"FIN","Finland","Finland"
"FRN","France","France"
"GAB","Gabon","Gabon"
"GAM","Gambia","Gambia"
"GRG","Georgia","Georgia"
"GMY","Germany","Germany"
"GHA","Ghana","Ghana"
"GRC","Greece","Greece"
"GRN","Grenada","Grenada"
"GUA","Guatemala","Guatemala"
"GUI","Guinea","Guinea"
"GNB","Guinea-Bissau","Guinea-Bissau"
"GUY","Guyana","Guyana"
"HAI","Haiti","Haiti"
"HON","Honduras","Honduras"
"HUN","Hungary","Hungary"
"ICE","Iceland","Iceland"
"IND","India","India"
"INS","Indonesia","Indonesia"
"IRN","Iran","Iran, Islamic Republic of"
"IRQ","Iraq","Iraq"
"IRE","Ireland","Ireland"
"ISR","Israel","Israel"
"ITA","Italy","Italy"
"CDI","Ivory Coast","C̫te d'Ivoire"
"JAM","Jamaica","Jamaica"
"JPN","Japan","Japan"
"JOR","Jordan","Jordan"
"KZK","Kazakhstan","Kazakhstan"
"KEN","Kenya","Kenya"
"KIR","Kiribati","Kiribati"
"KOS","Kosovo","Kosovo"
"KUW","Kuwait","Kuwait"
"KYR","Kyrgyzstan","Kyrgyzstan"
"LAO","Laos","Lao People's Democratic Republic"
"LAT","Latvia","Latvia"
"LEB","Lebanon","Lebanon"
"LES","Lesotho","Lesotho"
"LBR","Liberia","Liberia"
"LIB","Libya","Libya"
"LIE","Liechtenstein","Liechtenstein"
"LIT","Lithuania","Lithuania"
"LUX","Luxembourg","Luxembourg"
"MAC","Macedonia","Macedonia"
"MAG","Madagascar","Madagascar"
"MAW","Malawi","Malawi"
"MAL","Malaysia","Malaysia"
"MAD","Maldives","Maldives"
"MLI","Mali","Mali"
"MLT","Malta","Malta"
"MSI","Marshall Islands","Marshall Islands"
"MAA","Mauritania","Mauritania"
"MAS","Mauritius","Mauritius"
"MEX","Mexico","Mexico"
"MLD","Moldova","Moldova"
"MNC","Monaco","Monaco"
"MON","Mongolia","Mongolia"
"MNG","Montenegro","Montenegro"
"MOR","Morocco","Morocco"
"MZM","Mozambique","Mozambique"
"MYA","Myanmar","Myanmar"
"NAM","Namibia","Namibia"
"NAU","Nauru","Nauru"
"NEP","Nepal","Nepal"
"NTH","Netherlands","Netherlands"
"NEW","New Zealand","New Zealand"
"NIC","Nicaragua","Nicaragua"
"NIR","Niger","Niger"
"NIG","Nigeria","Nigeria"
"PRK","North Korea","Korea, Democratic People's Republic of"
"NOR","Norway","Norway"
"OMA","Oman","Oman"
"PAK","Pakistan","Pakistan"
"PAL","Palau","Palau"
"PAN","Panama","Panama"
"PNG","Papua New Guinea","Papua New Guinea"
"PAR","Paraguay","Paraguay"
"PER","Peru","Peru"
"PHI","Philippines","Philippines"
"POL","Poland","Poland"
"POR","Portugal","Portugal"
"QAT","Qatar","Qatar"
"ROM","Romania","Romania"
"RUS","Russia","Russian Federation"
"RWA","Rwanda","Rwanda"
"WSM","Samoa","Samoa"
"SNM","San Marino","San Marino"
"STP","Sao Tome and Principe","Sao Tome and Principe"
"SAU","Saudi Arabia","Saudi Arabia"
"SEN","Senegal","Senegal"
"SEY","Seychelles","Seychelles"
"SIE","Sierra Leone","Sierra Leone"
"SIN","Singapore","Singapore"
"SLO","Slovakia","Slovakia"
"SLV","Slovenia","Slovenia"
"SOL","Solomon Islands","Solomon Islands"
"SOM","Somalia","Somalia"
"SAF","South Africa","South Africa"
"ROK","South Korea","Korea, Republic of"
"SSD","South Sudan","South Sudan"
"SPN","Spain","Spain"
"SRI","Sri Lanka","Sri Lanka"
"SKN","St. Kitts and Nevis","Saint Kitts and Nevis"
"SLU","St. Lucia","Saint Lucia"
"SVG","St. Vincent and the Grenadines","Saint Vincent and the Grenadines"
"SUD","Sudan","Sudan"
"SUR","Suriname","Suriname"
"SWA","Swaziland","Swaziland"
"SWD","Sweden","Sweden"
"SWZ","Switzerland","Switzerland"
"SYR","Syria","Syrian Arab Republic"
"TAW","Taiwan","Taiwan"
"TAJ","Tajikistan","Tajikistan"
"TAZ","Tanzania","Tanzania"
"THI","Thailand","Thailand"
"ETM","East Timor","Timor-Leste"
"TOG","Togo","Togo"
"TON","Tonga","Tonga"
"TRI","Trinidad and Tobago","Trinidad and Tobago"
"TUN","Tunisia","Tunisia"
"TUR","Turkey","Turkey"
"TKM","Turkmenistan","Turkmenistan"
"UGA","Uganda","Uganda"
"UKR","Ukraine","Ukraine"
"UAE","United Arab Emirates","United Arab Emirates"
"UKG","United Kingdom","United Kingdom"
"USA","United States of America","United States"
"URU","Uruguay","Uruguay"
"UZB","Uzbekistan","Uzbekistan"
"VAN","Vanuatu","Vanuatu"
"VEN","Venezuela","Venezuela"
"DRV","Vietnam","Viet Nam"
"YEM","Yemen","Yemen"
"ZAM","Zambia","Zambia"
"ZIM","Zimbabwe","Zimbabwe"
